Anio,Departamento,Sexo,CasosEstimados_Predichos
2028,Junin,Masculino,73
2028,Junin,Femenino,-79
2028,La Libertad,Masculino,158
2028,La Libertad,Femenino,6
2028,Lambayeque,Masculino,79
2028,Lambayeque,Femenino,-73
2028,Lima,Masculino,1313
2028,Lima,Femenino,1161
2028,Loreto,Masculino,317
2028,Loreto,Femenino,165
2028,Madre de Dios,Masculino,2
2028,Madre de Dios,Femenino,-151
2028,Moquegua,Masculino,-21
2028,Moquegua,Femenino,-173
2028,Pasco,Masculino,-23
2028,Pasco,Femenino,-175
2028,Piura,Masculino,37
2028,Piura,Femenino,-115
2028,Puno,Masculino,-15
2028,Puno,Femenino,-167
2028,San Martin,Masculino,14
2028,San Martin,Femenino,-138
2028,Tacna,Masculino,-17
2028,Tacna,Femenino,-169
2028,Tumbes,Masculino,-27
2028,Tumbes,Femenino,-179
2028,Ucayali,Masculino,63
2028,Ucayali,Femenino,-89
2029,Amazonas,Masculino,15
2029,Amazonas,Femenino,-137
2029,Ancash,Masculino,31
2029,Ancash,Femenino,-121
2029,Apurimac,Masculino,-21
2029,Apurimac,Femenino,-173
2029,Arequipa,Masculino,117
2029,Arequipa,Femenino,-35
2029,Ayacucho,Masculino,-31
2029,Ayacucho,Femenino,-183
2029,Cajamarca,Masculino,-28
2029,Cajamarca,Femenino,-180
2029,Callao,Masculino,224
2029,Callao,Femenino,72
2029,Cusco,Masculino,-10
2029,Cusco,Femenino,-163
2029,Huancavelica,Masculino,-54
2029,Huancavelica,Femenino,-206
2029,Huanuco,Masculino,6
2029,Huanuco,Femenino,-147
2029,Ica,Masculino,108
2029,Ica,Femenino,-44
2029,Junin,Masculino,59
2029,Junin,Femenino,-93
2029,La Libertad,Masculino,144
2029,La Libertad,Femenino,-8
2029,Lambayeque,Masculino,65
2029,Lambayeque,Femenino,-87
2029,Lima,Masculino,1299
2029,Lima,Femenino,1147
2029,Loreto,Masculino,303
2029,Loreto,Femenino,151
2029,Madre de Dios,Masculino,-13
2029,Madre de Dios,Femenino,-165
2029,Moquegua,Masculino,-35
2029,Moquegua,Femenino,-187
2029,Pasco,Masculino,-37
2029,Pasco,Femenino,-189
2029,Piura,Masculino,23
2029,Piura,Femenino,-129
2029,Puno,Masculino,-29
2029,Puno,Femenino,-181
2029,San Martin,Masculino,0
2029,San Martin,Femenino,-152
2029,Tacna,Masculino,-31
2029,Tacna,Femenino,-183
2029,Tumbes,Masculino,-41
2029,Tumbes,Femenino,-193
2029,Ucayali,Masculino,49
2029,Ucayali,Femenino,-103
